,Unnamed: 0,Unnamed: 0.1,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,TotRel,Died,English
2,2,2,3,1,3,"Bing, Mr. Lee",male,32.0,0,0,1601,56.4958,Unknown,S,0,0,1
3,3,3,4,0,3,"Ling, Mr. Lee",male,28.0,0,0,1601,56.4958,Unknown,S,0,1,1
4,4,4,5,1,3,"Lang, Mr. Fang",male,26.0,0,0,1601,56.4958,Unknown,S,0,0,0
5,5,5,6,1,3,"Foo, Mr. Choong",male,29.69911764705882,0,0,1601,56.4958,Unknown,S,0,0,0
6,6,6,7,1,3,"Lam, Mr. Ali",male,29.69911764705882,0,0,1601,56.4958,Unknown,S,0,0,0
7,7,7,8,0,3,"Lam, Mr. Len",male,29.69911764705882,0,0,1601,56.4958,Unknown,S,0,1,1
8,8,8,9,1,3,"Chip, Mr. Chang",male,32.0,0,0,1601,56.4958,Unknown,S,0,0,1
10,10,10,11,0,3,"Allum, Mr. Owen George",male,18.0,0,0,2223,8.3,Unknown,S,0,1,1
11,11,11,12,1,3,"Leeni, Mr. Fahim (""Philip Zenni"")",male,22.0,0,0,2620,7.225,Unknown,C,0,0,0
12,12,12,13,0,3,"Badt, Mr. Mohamed",male,40.0,0,0,2623,7.225,Unknown,C,0,1,0
13,13,13,14,0,3,"Lahoud, Mr. Sarkis",male,29.69911764705882,0,0,2624,7.225,Unknown,C,0,1,0
14,14,14,15,1,3,"Thomas, Master. Assad Alexander",male,0.42,0,1,2625,8.5167,Unknown,C,1,0,1
15,15,15,16,1,3,"Moussa, Mrs. (Mantoura Boulos)",female,29.69911764705882,0,0,2626,7.2292,Unknown,C,0,0,0
16,16,16,17,0,3,"Attalah, Miss. Malake",female,17.0,0,0,2627,14.4583,Unknown,C,0,1,0
17,17,17,18,0,3,"Yousseff, Mr. Gerious",male,29.69911764705882,0,0,2627,14.4583,Unknown,C,0,1,0
18,18,18,19,0,3,"Youseff, Mr. Gerious",male,45.5,0,0,2628,7.225,Unknown,C,0,1,0
19,19,19,20,0,3,"Razi, Mr. Raihed",male,29.69911764705882,0,0,2629,7.2292,Unknown,C,0,1,0
20,20,20,21,0,3,"Emir, Mr. Farred Chehab",male,29.69911764705882,0,0,2631,7.225,Unknown,C,0,1,1
21,21,21,22,0,3,"Toufik, Mr. Nakli",male,29.69911764705882,0,0,2641,7.2292,Unknown,C,0,1,0
22,22,22,23,0,3,"Yousif, Mr. Wazli",male,29.69911764705882,0,0,2647,7.225,Unknown,C,0,1,0
23,23,23,24,0,3,"Betros, Mr. Tannous",male,20.0,0,0,2648,4.0125,Unknown,C,0,1,1
24,24,24,25,1,3,"Masselmani, Mrs. Fatima",female,29.69911764705882,0,0,2649,7.225,Unknown,C,0,0,0
25,25,25,26,1,3,"Touma, Mrs. Darwis (Hanne Youssef Razi)",female,29.0,0,2,2650,15.2458,Unknown,C,2,0,0
26,26,26,27,1,3,"Nicola-Yarred, Miss. Jamila",female,14.0,1,0,2651,11.2417,Unknown,C,1,0,1
27,27,27,28,1,3,"Nicola-Yarred, Master. Elias",male,12.0,1,0,2651,11.2417,Unknown,C,1,0,0
28,28,28,29,1,3,"Nakid, Miss. Maria (""Mary"")",female,1.0,0,2,2653,15.7417,Unknown,C,2,0,0
29,29,29,30,1,3,"Nakid, Mr. Sahid",male,20.0,1,1,2653,15.7417,Unknown,C,2,0,0
30,30,30,31,0,3,"Yasbeck, Mr. Antoni",male,27.0,1,0,2659,14.4542,Unknown,C,1,1,0
31,31,31,32,1,3,"Yasbeck, Mrs. Antoni (Selini Alexander)",female,15.0,1,0,2659,14.4542,Unknown,C,1,0,0
32,32,32,33,1,3,"Moubarek, Master. Gerios",male,29.69911764705882,1,1,2661,15.2458,Unknown,C,2,0,1
33,33,33,34,1,3,"Moubarek, Master. Halim Gonios (""William George"")",male,29.69911764705882,1,1,2661,15.2458,Unknown,C,2,0,1
34,34,34,35,0,3,"Samaan, Mr. Youssef",male,29.69911764705882,2,0,2662,21.6792,Unknown,C,2,1,0
35,35,35,36,1,3,"Barah, Mr. Hanna Assi",male,20.0,0,0,2663,7.2292,Unknown,C,0,0,1
36,36,36,37,0,3,"Boulos, Mr. Hanna",male,29.69911764705882,0,0,2664,7.225,Unknown,C,0,1,0
37,37,37,38,0,3,"Zabour, Miss. Hileni",female,14.5,1,0,2665,14.4542,Unknown,C,1,1,0
38,38,38,39,0,3,"Zabour, Miss. Thamine",female,29.69911764705882,1,0,2665,14.4542,Unknown,C,1,1,0
39,39,39,40,1,3,"Baclini, Miss. Marie Catherine",female,5.0,2,1,2666,19.2583,Unknown,C,3,0,0
40,40,40,41,1,3,"Baclini, Miss. Helene Barbara",female,0.75,2,1,2666,19.2583,Unknown,C,3,0,0
41,41,41,42,1,3,"Baclini, Miss. Eugenie",female,0.75,2,1,2666,19.2583,Unknown,C,3,0,0
42,42,42,43,1,3,"Baclini, Mrs. Solomon (Latifa Qurban)",female,24.0,0,3,2666,19.2583,Unknown,C,3,0,0
43,43,43,44,1,3,"Najib, Miss. Adele Kiamie ""Jane""",female,15.0,0,0,2667,7.225,Unknown,C,0,0,0
44,44,44,45,1,3,"Peter, Miss. Anna",female,29.69911764705882,1,1,2668,22.3583,F E69,C,2,0,0
45,45,45,46,1,3,"Peter, Mrs. Catherine (Catherine Rizk)",female,29.69911764705882,0,2,2668,22.3583,Unknown,C,2,0,0
46,46,46,47,0,3,"Sirayanian, Mr. Orsen",male,22.0,0,0,2669,7.2292,Unknown,C,0,1,0
47,47,47,48,0,3,"Saad, Mr. Amin",male,29.69911764705882,0,0,2671,7.2292,Unknown,C,0,1,1
48,48,48,49,0,3,"Saad, Mr. Khalil",male,25.0,0,0,2672,7.225,Unknown,C,0,1,1
49,49,49,50,0,3,"Elias, Mr. Dibo",male,29.69911764705882,0,0,2674,7.225,Unknown,C,0,1,0
50,50,50,51,1,3,"Mamee, Mr. Hanna",male,29.69911764705882,0,0,2677,7.2292,Unknown,C,0,0,0
51,51,51,52,0,3,"Boulos, Mrs. Joseph (Sultana)",female,29.69911764705882,0,2,2678,15.2458,Unknown,C,2,1,0
52,52,52,53,0,3,"Boulos, Miss. Nourelain",female,9.0,1,1,2678,15.2458,Unknown,C,2,1,0
53,53,53,54,0,3,"Chronopoulos, Mr. Apostolos",male,26.0,1,0,2680,14.4542,Unknown,C,1,1,0
54,54,54,55,0,3,"Lemberopolous, Mr. Peter L",male,34.5,0,0,2683,6.4375,Unknown,C,0,1,0
55,55,55,56,0,3,"Ibrahim Shawah, Mr. Yousseff",male,30.0,0,0,2685,7.2292,Unknown,C,0,1,0
56,56,56,57,0,3,"Doharr, Mr. Tannous",male,29.69911764705882,0,0,2686,7.2292,Unknown,C,0,1,1
57,57,57,58,1,3,"Ayoub, Miss. Banoura",female,13.0,0,0,2687,7.2292,Unknown,C,0,0,0
58,58,58,59,0,3,"Caram, Mrs. Joseph (Maria Elias)",female,29.69911764705882,1,0,2689,14.4583,Unknown,C,1,1,0
59,59,59,60,0,3,"Elias, Mr. Joseph Jr",male,17.0,1,1,2690,7.2292,Unknown,C,2,1,0
60,60,60,61,0,3,"Barbara, Mrs. (Catherine David)",female,45.0,0,1,2691,14.4542,Unknown,C,1,1,0
61,61,61,62,0,3,"Barbara, Miss. Saiide",female,18.0,0,1,2691,14.4542,Unknown,C,1,1,0
62,62,62,63,0,3,"Hanna, Mr. Mansour",male,23.5,0,0,2693,7.2292,Unknown,C,0,1,1
63,63,63,64,0,3,"Attalah, Mr. Sleiman",male,30.0,0,0,2694,7.225,Unknown,C,0,1,0
64,64,64,65,0,3,"Elias, Mr. Tannous",male,15.0,1,1,2695,7.2292,Unknown,C,2,1,0
65,65,65,66,0,3,"Novel, Mr. Mansouer",male,28.5,0,0,2697,7.2292,Unknown,C,0,1,0
66,66,66,67,1,3,"Albimona, Mr. Nassef Cassem",male,26.0,0,0,2699,18.7875,Unknown,C,0,0,0
67,67,67,68,0,3,"Hassan, Mr. Houssein G N",male,11.0,0,0,2699,18.7875,Unknown,C,0,1,1
68,68,68,69,0,3,"Kassem, Mr. Fared",male,29.69911764705882,0,0,2700,7.2292,Unknown,C,0,1,1
72,72,72,73,0,3,"Paulner, Mr. Uscher",male,29.69911764705882,0,0,3411,8.7125,Unknown,C,0,1,1
73,73,73,74,0,3,"Braund, Mr. Lewis Richard",male,29.0,1,0,3460,7.0458,Unknown,S,1,1,1
74,74,74,75,0,3,"Alexander, Mr. William",male,26.0,0,0,3474,7.8875,Unknown,S,0,1,1
75,75,75,76,0,3,"Lefebre, Master. Henry Forbes",male,29.69911764705882,3,1,4133,25.4667,Unknown,S,4,1,1
76,76,76,77,0,3,"Lefebre, Miss. Mathilde",female,29.69911764705882,3,1,4133,25.4667,Unknown,S,4,1,1
77,77,77,78,0,3,"Lefebre, Miss. Ida",female,29.69911764705882,3,1,4133,25.4667,Unknown,S,4,1,1
78,78,78,79,0,3,"Lefebre, Miss. Jeannie",female,29.69911764705882,3,1,4133,25.4667,Unknown,S,4,1,1
79,79,79,80,1,3,"Turkula, Mrs. (Hedwig)",female,63.0,0,0,4134,9.5875,Unknown,S,0,0,0
80,80,80,81,0,3,"Laitinen, Miss. Kristina Sofia",female,37.0,0,0,4135,9.5875,Unknown,S,0,1,0
81,81,81,82,0,3,"Jussila, Miss. Katriina",female,20.0,1,0,4136,9.825,Unknown,S,1,1,0
82,82,82,83,0,3,"Jussila, Miss. Mari Aina",female,21.0,1,0,4137,9.825,Unknown,S,1,1,0
83,83,83,84,1,3,"Turja, Miss. Anna Sofia",female,18.0,0,0,4138,9.8417,Unknown,S,0,0,0
84,84,84,85,0,3,"Olsen, Mr. Karl Siegwart Andreas",male,42.0,0,1,4579,8.4042,Unknown,S,1,1,0
86,86,86,87,0,3,"Olsvigen, Mr. Thor Anderson",male,20.0,0,0,6563,9.225,Unknown,S,0,1,0
87,87,87,88,0,3,"Odahl, Mr. Nils Martin",male,23.0,0,0,7267,9.225,Unknown,S,0,1,0
88,88,88,89,0,3,"Osen, Mr. Olaf Elon",male,16.0,0,0,7534,9.2167,Unknown,S,0,1,0
89,89,89,90,0,3,"Gustafsson, Mr. Alfred Ossian",male,20.0,0,0,7534,9.8458,Unknown,S,0,1,0
90,90,90,91,0,3,"Johansson, Mr. Gustaf Joel",male,33.0,0,0,7540,8.6542,Unknown,S,0,1,0
91,91,91,92,0,3,"Larsson, Mr. August Viktor",male,29.0,0,0,7545,9.4833,Unknown,S,0,1,0
92,92,92,93,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40.0,1,0,7546,9.475,Unknown,S,1,1,0
93,93,93,94,0,3,"Dahlberg, Miss. Gerda Ulrika",female,22.0,0,0,7552,10.5167,Unknown,S,0,1,0
94,94,94,95,0,3,"Strandberg, Miss. Ida Sofia",female,22.0,0,0,7553,9.8375,Unknown,S,0,1,0
95,95,95,96,1,3,"Dahl, Mr. Karl Edwart",male,45.0,0,0,7598,8.05,Unknown,S,0,0,1
96,96,96,97,0,3,"Gronnestad, Mr. Daniel Danielsen",male,32.0,0,0,8471,8.3625,Unknown,S,0,1,0
97,97,97,98,0,3,"Kalvik, Mr. Johannes Halvorsen",male,21.0,0,0,8475,8.4333,Unknown,S,0,1,0
98,98,98,99,1,3,"Kelly, Miss. Anna Katherine ""Annie Kate""",female,29.69911764705882,0,0,9234,7.75,Unknown,Q,0,0,1
116,116,116,117,0,3,"Keane, Mr. Andrew ""Andy""",male,29.69911764705882,0,0,12460,7.75,Unknown,Q,0,1,1
130,130,130,131,1,3,"O'Driscoll, Miss. Bridget",female,29.69911764705882,0,0,14311,7.75,Unknown,Q,0,0,1
131,131,131,132,1,3,"Kelly, Miss. Mary",female,29.69911764705882,0,0,14312,7.75,Unknown,Q,0,0,1
132,132,132,133,1,3,"Jermyn, Miss. Annie",female,29.69911764705882,0,0,14313,7.75,Unknown,Q,0,0,1
133,133,133,134,0,3,"Gilinski, Mr. Eliezer",male,22.0,0,0,14973,8.05,Unknown,S,0,1,1
166,166,166,167,0,3,"Green, Mr. George Henry",male,51.0,0,0,21440,8.05,Unknown,S,0,1,1
210,210,210,211,1,3,"Gilnagh, Miss. Katherine ""Katie""",female,16.0,0,0,35851,7.7333,Unknown,Q,0,0,1
211,211,211,212,1,3,"Mullens, Miss. Katherine ""Katie""",female,29.69911764705882,0,0,35852,7.7333,Unknown,Q,0,0,1
212,212,212,213,0,3,"Scanlan, Mr. James",male,29.69911764705882,0,0,36209,7.725,Unknown,Q,0,1,1
213,213,213,214,0,3,"McEvoy, Mr. Michael",male,29.69911764705882,0,0,36568,15.5,Unknown,Q,0,1,1
214,214,214,215,0,3,"Gallagher, Mr. Martin",male,25.0,0,0,36864,7.7417,Unknown,Q,0,1,1
215,215,215,216,0,3,"Kilgannon, Mr. Thomas J",male,29.69911764705882,0,0,36865,7.7375,Unknown,Q,0,1,1
216,216,216,217,1,3,"Mannion, Miss. Margareth",female,29.69911764705882,0,0,36866,7.7375,Unknown,Q,0,0,1
225,225,225,226,0,3,"Bowen, Mr. David John ""Dai""",male,21.0,0,0,54636,16.1,Unknown,S,0,1,1
226,226,226,227,0,3,"Williams, Mr. Leslie",male,28.5,0,0,54636,16.1,Unknown,S,0,1,1
227,227,227,228,0,3,"Hagland, Mr. Ingvald Olai Olsen",male,29.69911764705882,1,0,65303,19.9667,Unknown,S,1,1,0
228,228,228,229,0,3,"Hagland, Mr. Konrad Mathias Reiersen",male,29.69911764705882,1,0,65304,19.9667,Unknown,S,1,1,1
229,229,229,230,1,3,"Johannesen-Bratthammer, Mr. Bernt",male,29.69911764705882,0,0,65306,8.1125,Unknown,S,0,0,0
389,389,389,390,1,3,"Moss, Mr. Albert Johan",male,29.69911764705882,0,0,312991,7.775,Unknown,S,0,0,1
390,390,390,391,0,3,"Birkeland, Mr. Hans Martin Monsen",male,21.0,0,0,312992,7.775,Unknown,S,0,1,0
391,391,391,392,0,3,"Rommetvedt, Mr. Knud Paust",male,29.69911764705882,0,0,312993,7.775,Unknown,S,0,1,0
